seed,episodic_return,env,id
21,87116.671875,Breakout-MinAtar,23
22,81803.140625,Breakout-MinAtar,23
23,83980.5,Breakout-MinAtar,23
24,82276.125,Breakout-MinAtar,23
25,91278.515625,Breakout-MinAtar,23
26,85925.34375,Breakout-MinAtar,23
27,81501.375,Breakout-MinAtar,23
28,81827.0625,Breakout-MinAtar,23
29,81455.875,Breakout-MinAtar,23
0,112431.765625,Breakout-MinAtar,675
1,221752.6875,Breakout-MinAtar,675
2,267788.1875,Breakout-MinAtar,675
3,297888.328125,Breakout-MinAtar,675
4,350497.03125,Breakout-MinAtar,675
5,250159.203125,Breakout-MinAtar,675
6,154304.53125,Breakout-MinAtar,675
7,377626.78125,Breakout-MinAtar,675
8,250349.9375,Breakout-MinAtar,675
9,179346.421875,Breakout-MinAtar,675
10,243230.296875,Breakout-MinAtar,675
11,264008.375,Breakout-MinAtar,675
12,196603.78125,Breakout-MinAtar,675
13,216011.625,Breakout-MinAtar,675
